ProductId,Product Name, Total quantity, Snapshot date
346,DataVMS 42000,0,2023-01-30 04:49:09.14
347,DataVMS 56000,0,2023-01-30 04:49:09.14
348,DataVMS 84000,0,2023-01-30 04:49:09.14
349,Mobifone 5000,0,2023-01-30 04:49:09.14
350,Vinaphone 5000,0,2023-01-30 04:49:09.14
351,DataVTT 40000,0,2023-01-30 04:49:09.14
352,DataVTT 70000,0,2023-01-30 04:49:09.14
353,DataVTT 90000,0,2023-01-30 04:49:09.14
354,DataVTT 125000,0,2023-01-30 04:49:09.14
355,DataVTT 200000,0,2023-01-30 04:49:09.14
356,Appota 50.000,0,2023-01-30 04:49:09.14
357,Appota 100.000,0,2023-01-30 04:49:09.14
358,Appota 200.000,0,2023-01-30 04:49:09.14
359,Appota 300.000,0,2023-01-30 04:49:09.14
360,Appota 500.000,0,2023-01-30 04:49:09.14
361,Appota 1.000.000,0,2023-01-30 04:49:09.14
362,Appota 2.000.000,0,2023-01-30 04:49:09.14
363,Appota 3.000.000,0,2023-01-30 04:49:09.14
364,Appota 5.000.000,0,2023-01-30 04:49:09.14
375,DataVNP 1500,0,2023-01-30 04:49:09.14
376,DataVNP 3000,0,2023-01-30 04:49:09.14
377,DataVNP 4500,0,2023-01-30 04:49:09.14
378,DataVNP 7500,0,2023-01-30 04:49:09.14
379,DataVNP 15000,0,2023-01-30 04:49:09.14
380,DataVNP 30000,0,2023-01-30 04:49:09.14
381,DataVNP 75000,0,2023-01-30 04:49:09.14
382,DataVNP 5200,0,2023-01-30 04:49:09.14
383,DataVNP 7800,0,2023-01-30 04:49:09.14
384,DataVNP 13000,0,2023-01-30 04:49:09.14
385,DataVNP 60000,0,2023-01-30 04:49:09.14
386,DataVNP 160000,0,2023-01-30 04:49:09.14
387,DataVNP 185000,0,2023-01-30 04:49:09.14
388,DataVNP 220000,0,2023-01-30 04:49:09.14
389,DataVNP 275000,0,2023-01-30 04:49:09.14
390,DataVNP 150,0,2023-01-30 04:49:09.14
391,DataVNP 300,0,2023-01-30 04:49:09.14
392,DataVNP 600,0,2023-01-30 04:49:09.14
393,DataVNP 900,0,2023-01-30 04:49:09.14
420,Gate 10.000.000,0,2023-01-30 04:49:09.14
421,DataVTT 30000,0,2023-01-30 04:49:09.14
422,DataVTT 15000,0,2023-01-30 04:49:09.14
423,DataVTT 3000,0,2023-01-30 04:49:09.14
424,Mobifone 70.000,0,2023-01-30 04:49:09.14
425,Mobifone 90.000,0,2023-01-30 04:49:09.14
426,Mobifone 160.000,0,2023-01-30 04:49:09.14
427,DataVMS 19600,0,2023-01-30 04:49:09.14
430,DataVTT 230000,0,2023-01-30 04:49:09.14
25,Mobifone 10.000,415,2023-01-30 04:49:09.14
41,Vcoin 20.000,1000,2023-01-30 04:49:09.14
17,Vinaphone 10.000,5085,2023-01-30 04:49:09.14
